,orgType_group,effectif
1625,enterprise,1
1626,nonprofit organization | regulatory agency,1
1627,oberste bundesbehörde,1
1628,ombudsman | position,1
1629,open joint-stock company,1
1630,"nonprofit organization | version, edition or translation | voluntary association",1
1631,normal school,1
1632,normal school | primary school | public school,1
1633,air force academy | field operating agency,1
1634,catholic university | jesuit school | open-access publisher | private university,1
1635,catholic university | open-access publisher,1
1636,catholic university | open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | research institute,1
1637,catholic university | open-access publisher | private university,1
1638,catholic university | open-access publisher | university,1
1639,catholic university | private not-for-profit educational institution | university,1
1640,cemetery,1
1641,airline,1
1642,nonprofit organization | order of chivalry | patriotic society,1
1643,educational stage,1
1644,advocacy group | organization | umbrella organization,1
1645,advocacy group | think tank,1
1646,aerospace manufacturer | business | enterprise | organization | public company | rail vehicle manufacturer,1
1647,agricultural college,1
1648,airline | crown corporation | public company,1
1649,altherrenverein | schülerverbindung,1
1650,alumni association | organization,1
1651,anarchist organisation,1
1652,ancient city | big city | former capital | largest city | megacity | metropolitan municipality in turkey | port city,1
1653,anglican diocese,1
1654,antifascist organization | metaorganization | veterans' organization,1
1655,appellate court of south korea,1
1656,appellate court | court,1
1657,normal school | school,1
1658,obergericht,1
1659,open-access publisher | organization | public university | university,1
1660,open-access publisher | polytechnic | university,1
1661,open-access publisher | pontifical university | private university,1
1662,open-access publisher | private not-for-profit educational institution | school of education,1
1663,advocacy group | eingetragener verein,1
1664,advocacy group | international organization,1
1665,enterprise | subsidiary,1
1666,environment ministry | ministry of norway,1
1667,environmental organization | nonprofit organization | organization established by the united nations,1
1668,episcopal conference,1
1669,esperanto club,1
1670,boarding school | day school | independent school | preparatory school,1
1671,boarding school | day school | independent school | secondary school,1
1672,boarding school | educational institution | high school | mixed-sex education | public school,1
1673,educational organization | higher education institution | public university | university,1
1674,educational organization | university,1
1675,educational organization | higher education institution | open-access publisher | organization | university,1
1676,boarding school | charitable organization | independent school | preparatory school,1
1677,open-access publisher | university in ontario,1
1678,opposition to immigration | organization,1
1679,order of chivalry | organization,1
1680,order | organization,1
1681,organization established by the united nations | peacekeeping mission,1
1682,agricultural school,1
1683,aided school | higher secondary school,1
1684,air force academy,1
1685,air force academy | air force unit,1
1686,open-access publisher | production team | public university,1
1687,administrative agency in norway | public prosecutor's office,1
1688,administrative building | court of appeal,1
1689,administrative corps | army aviation component | military branch,1
1690,open university | public university | publishing company,1
1691,administrative court | court | supreme court,1
1692,advisory board | collegiate body,1
1693,advisory group,1
1694,advocacy group,1
1695,advocacy group | christian organization | law firm | nonprofit organization,1
1696,open-access publisher | swedish government agency | university,1
1697,eingetragener verein | political movement,1
1698,eingetragener verein | studentenverbindung | turnerschaft,1
1699,elected legislative house | house of representatives | jurisdiction | legislative branch agency,1
1700,educational institution | school | secondary school,1
1701,educational institution | secondary school,1
1702,educational institution | university-preparatory school,1
1703,educational organization,1
1704,educational organization | educational program | eingetragener verein | memory institution | nonprofit organization | public research institution in germany | scientific society | self-regulatory organization,1
1705,educational organization | gymnasium | kindergarten | primary school | religious school | seminary | university dormitory,1
1706,educational organization | higher education institution | new university | open-access publisher | public university | publishing company | university,1
1707,organization | student group,1
1708,organization | student society | study group,1
1709,organization | think tank,1
1710,organization | political party,1
1711,building | cultural property | upper secondary school in norway,1
1712,building | gentlemen's club,1
1713,building | government agency,1
1714,building | gymnasieskola,1
1715,building | high school,1
1716,building | high school | language school | school,1
1717,building | monument | school,1
1718,catholic seminary | school,1
1719,catholic theological faculty,1
1720,catholic theological faculty | church college | public educational institution,1
1721,catholic theological faculty | faculty | former entity,1
1722,organization | private club,1
1723,boarding school | military school | private school | school building | single-sex education,1
1724,boarding school | nonprofit organization,1
1725,boarding school | nonprofit organization | secondary school,1
1726,boarding school | primary school | secondary school,1
1727,parliament building,1
1728,parliament | riksdag | unicameral legislature,1
1729,parliament | unicameral legislature,1
1730,parliamentary committee of inquiry,1
1731,organization | private school | school network,1
1732,organization | professional association | women's organization,1
1733,organization | professional services network,1
1734,organization | public university | university,1
1735,organization | publishing company | social movement | sports organization | voluntary association,1
1736,organization | school system,1
1737,organization | secret service,1
1738,organization | sports governing body,1
1739,organization | writers union,1
1740,organization | writing circle,1
1741,organization | wwii resistance group,1
1742,organization | youth organisation | zionist youth movement,1
1743,organization | école normale supérieure,1
1744,panel | position,1
1745,paramilitary organization | polish resistance movement in world war ii,1
1746,paramilitary organization | shock troops,1
1747,boarding school | charitable organization | school for the blind | special education school,1
1748,boarding school | coeducational school,1
1749,boarding school | day school | historic district | university-preparatory school,1
1750,educational institution | public school,1
1751,educational institution | q15063568,1
1752,educational institution | school building,1
1753,boarding school | international school | school,1
1754,boarding school | junior college | private school | secondary school,1
1755,educational institution | museum,1
1756,educational institution | national academy,1
1757,educational institution | open-access publisher,1
1758,building | church college | private not-for-profit educational institution | university,1
1759,building | club | gentlemen's club,1
1760,building | coeducational school | primary school | private school | secondary school | upper secondary school in finland,1
1761,building | community college | public educational institution of the united states,1
1762,political coalition | political organization,1
1763,pesantren,1
1764,pharmacy school,1
1765,academy school | school,1
1766,academy | language regulator | literary society,1
1767,academy | medical school,1
1768,academy | organization | university,1
1769,philatelic organization,1
1770,organization | u.s. state supreme court,1
1771,pressure group | professional association,1
1772,primary school | secondary school,1
1773,place of gestapo terror | state police headquarter,1
1774,police academy | university,1
1775,catholic school | heritage site | high school | single-sex school,1
1776,catholic seminary | catholic theological faculty | pontifical university,1
1777,catholic seminary | church building | tourist attraction,1
1778,catholic seminary | higher center for theological studies,1
1779,catholic seminary | pontifical university,1
1780,conservatory | czech research institution | public university,1
1781,conservatory | nonprofit organization,1
1782,educational institution | flight school,1
1783,educational institution | higher education institution | private educational institution,1
1784,educational institution | higher education institution | public educational institution,1
1785,educational institution | hospital,1
1786,educational institution | language school,1
1787,dār al-ʿulūm,1
1788,economic activity,1
1789,educational facility | lycée,1
1790,educational facility | lycée | lycée-collège,1
1791,academy of sciences | research institute,1
1792,political ideology,1
1793,political movement | terrorist organization,1
1794,political organization | youth organisation,1
1795,political party | social democratic party,1
1796,polytechnic,1
1797,pontifical academy,1
1798,pontifical institute,1
1799,pontifical university | seminary,1
1800,position | profession,1
1801,position | public office,1
1802,position | wikimedia list article,1
1803,catholic school | dormitory | gymnasium | piarist school,1
1804,catholic school | gymnasium,1
1805,academy school | boarding school | boys' school | grammar school | secondary school,1
1806,private educational institution | university of applied sciences,1
1807,private for-profit educational institution | university,1
1808,private hochschule,1
1809,private not-for-profit educational institution | women's college | women's college in the united states,1
1810,private school | school building,1
1811,educational institution | organization | private university,1
1812,educational institution | police academy,1
1813,educational institution | public company | university,1
1814,educational institution | public research university | university in british columbia,1
1815,boarding school | grammar school,1
1816,boarding school | high school | independent school,1
1817,boarding school | high school | summer camp program,1
1818,boarding school | historic building | kindergarten | public school | secondary school,1
1819,dicastery | roman college,1
1820,directorate-general of the european commission,1
1821,disability rights organization | government agency | independent agency of the united states government | tribunal,1
1822,district court in the czech republic,1
1823,drama school,1
1824,duplicate entry | imperial university of the russian empire,1
1825,public authority,1
1826,public benefit organization | wikimedia chapter,1
1827,public broadcaster,1
1828,public building,1
1829,academy school | architectural structure | girls' school | grammar school | secondary school,1
1830,cantonal authority | cantonal legislatures of switzerland,1
1831,cantonal court,1
1832,catholic organization | nonprofit organization | pressure group | women's organization,1
1833,catholic parish | catholic parish church | church building,1
1834,catholic school | church building | high school,1
1835,business | state-owned enterprise,1
1836,business | transport company,1
1837,cadet corps,1
1838,academy school | boarding school | grammar school | secondary school,1
1839,academy school | boarding school | secondary school,1
1840,academy school | boys' school | catholic school | secondary school,1
1841,academy school | catholic school | secondary school,1
1842,academy school | community school | secondary school,1
1843,professional association,1
1844,province of the netherlands,1
1845,educational facility | primary school | private school,1
1846,educational facility | school building,1
1847,educational institution | educational organization | organization | public university | university,1
1848,educational institution | examination board,1
1849,educational institution | federal university,1
1850,development bank | international financial institution,1
1851,public prosecutors office (japan),1
1852,public school | school building | secondary school,1
1853,public school | school | university,1
1854,academic publisher | private university | university system,1
1855,academic publisher | public university,1
1856,academies and institutes | university,1
1857,public educational institution of the united states | technical school | university,1
1858,public educational institution of the united states | university | university campus,1
1859,public educational institution of the united states | upper division college,1
1860,public inquiry,1
1861,public institution,1
1862,public institution | publishing company,1
1863,business | organization,1
1864,business | psychiatric hospital,1
1865,business | railway company,1
1866,business | railway company | transcontinental railroad | transport company,1
1867,defunct court,1
1868,defunct government institution | foreign affairs ministry | ministry of the gdr,1
1869,defunct organization,1
1870,defunct organization | faculty of law,1
1871,defunct organization | state bank,1
1872,defunct organization | university in france,1
1873,department of corrections | state agency of the united states,1
1874,q27999366 | vorfeldorganisation,1
1875,q4158616,1
1876,q55658194,1
1877,q5789562,1
1878,campus university | open-access publisher | organization | public university,1
1879,campus university | public university | university of applied sciences,1
1880,canadian federal department | justice ministry,1
1881,public office,1
1882,public policy school | university,1
1883,business | daily newspaper | newspaper,1
1884,business | educational institution | private educational institution | public company | university,1
1885,business | enterprise | holding company,1
1886,business | enterprise | organization,1
1887,public university | research institute,1
1888,publishing company,1
1889,publishing company | university,1
1890,q105968869,1
1891,q1802087,1
1892,q2009063,1
1893,boarding school | educational institution | high school | public school | secondary school,1
1894,boarding school | further education college | secondary school,1
1895,boarding school | girls' school | independent school | school,1
1896,boarding school | girls' school | secondary school,1
1897,defence ministry | executive department of the philippines,1
1898,defence ministry | ministries of denmark,1
1899,constitutional court | constitutional institution | court,1
1900,constitutional court | public office,1
1901,constitutional institution | superior court,1
1902,consumer ministry | german state agency | justice ministry | ministry of migration,1
1903,convention,1
1904,research library | state agency of california,1
1905,residential college | residential colleges of yale university,1
1906,residential college | seminary,1
1907,residential college | university dormitory,1
1908,radio station,1
1909,business | central bank,1
1910,business | colonial society | east india company | enterprise,1
1911,business | concern | enterprise | gas station chain | organization | public company,1
1912,business | credit institution | enterprise,1
1913,business | credit institution | enterprise | public company | systematic internaliser | universal bank,1
1914,business | cruise line,1
1915,school | seminary,1
1916,school | university campus,1
1917,scientific journal,1
1918,business | insurance company | organization,1
1919,business | insurance company | organization | public company,1
1920,regional council of new zealand,1
1921,academic publisher | international organization | nonprofit organization | open-access publisher,1
1922,religious organization,1
1923,department of the australian government | government agency,1
1924,destination marketing organization | voluntary association,1
1925,destroyed building or structure | gymnasium in germany | lyceum,1
1926,destroyed building or structure | high school,1
1927,day school | school | school building | secondary school,1
1928,decentralised agency of the european union,1
1929,constituent college,1
1930,constituent college | university building,1
1931,cultural club | discussion group | secret society,1
1932,cultural heritage ensemble | gymnasium in germany | school,1
1933,cultural institution,1
1934,cultural property | jesuit school | public school,1
1935,czech research institution | educational organization | institute,1
1936,secret society | society,1
1937,security agency,1
1938,restaurant chain,1
1939,roman catholic metropolitan archdiocese,1
1940,royal house,1
1941,running club | sports club,1
1942,russian general jurisdiction court,1
1943,school district in the united states,1
1944,school for the blind | special education school,1
1945,school of international relations,1
1946,school of pedagogy,1
1947,specialized school,1
1948,sportgymnasium | upper secondary school in finland,1
1949,sports governing body,1
1950,academic publisher | church college | private university,1
1951,academic publisher | higher education institution | public research university | world health organization collaborating centre,1
1952,scientific society | think tank,1
1953,secondary school | voluntary controlled school,1
1954,secondary school | yeshiva high school,1
1955,corporated law firm,1
1956,corporation,1
1957,corporation | enterprise | gas station chain | oil company | organization | public company,1
1958,deemed university,1
1959,courthouse | district court,1
1960,courts of appeal of romania,1
1961,courts of england and wales | superior court,1
1962,cultural association,1
1963,court of cassation,1
1964,court of cassation | q129341528 | supreme court,1
1965,court of justice,1
1966,court of justice | government organization,1
1967,court | government agency,1
1968,court | international court,1
1969,business college,1
1970,business school | graduate school | organization,1
1971,business school | public university,1
1972,senate,1
1973,senate of bremen | state government in germany,1
1974,senioren-convent,1
1975,skyscraper | university building,1
1976,social court,1
1977,sociedad económica de amigos del país,1
1978,specialized higher education institution,1
1979,united states congressional select or special committee,1
1980,501(c)(3) organization,1
1981,welsh-medium school,1
1982,text publication society,1
1983,sports organization,1
1984,staatsanwaltschaft,1
1985,staatscommissie,1
1986,daily newspaper | newspaper,1
1987,daily newspaper | periodical,1
1988,danish investigative commission,1
1989,data protection authority | government agency,1
1990,database | language regulator,1
1991,county of nevada,1
1992,court of appeal (prussia),1
1993,court of appeal of belgium,1
1994,court of audit | q129341528,1
1995,building | open-access publisher | public university,1
1996,501(c)(3) organization | nonprofit corporation,1
1997,501(c)(3) organization | advocacy group | nonprofit organization,1
1998,verwaltungshochschule,1
1999,academic department | graduate school | journalism school,1
2000,academic hall of the university of oxford,1
2001,academic institution | college,1
2002,academic institution | educational institution | think tank,1
2003,academic institution | educational institution | university,1
2004,upper secondary school in norway,1
2005,upper secondary school in norway | vocational school,1
2006,yacht club,1
2007,youth program,1
2008,university building,1
2009,stubengesellschaft,1
2010,study group,1
2011,heritage society | historical society,1
2012,high council of state | lower house,1
2013,high people's court,1
2014,high public prosecutors office,1
2015,council | organization established by the united nations,1
2016,country club | sports venue,1
2017,county government in california | municipal corporation in the united states,1
2018,academic institution | heritage site,1
2019,abbey | catholic seminary,1
2020,university library,1
2021,university of applied sciences,1
2022,university | university correspondence course,1
2023,university | university of applied sciences (switzerland),1
2024,women's wing,1
2025,wwii resistance group,1
2026,wikimedia list article,1
